ip,timestamp,url,user_agent,label
31.217.175.227,2026-03-01 16:16:05,/index,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_3 rv:6.0; ss-ZA) AppleWebKit/534.10.3 (KHTML, like Gecko) Version/5.0.1 Safari/534.10.3",0
203.4.248.217,2026-03-01 16:16:11,/article/45,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
203.4.248.217,2026-03-01 16:16:32,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
22.24.243.88,2026-03-01 16:16:40,/index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; nl-NL) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/5.1 Safari/534.6.7",0
22.24.243.88,2026-03-01 16:16:47,/index,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; nl-NL) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/5.1 Safari/534.6.7",0
40.153.198.140,2026-03-01 16:17:01,/category/tech,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
203.4.248.217,2026-03-01 16:17:04,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
40.153.198.140,2026-03-01 16:17:12,/category/tech,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_1 rv:4.0; es-CO) AppleWebKit/535.18.1 (KHTML, like Gecko) Version/5.0.4 Safari/535.18.1",0
203.4.248.217,2026-03-01 16:17:17,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
22.24.243.88,2026-03-01 16:17:17,/category/tech,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_5 rv:4.0; nl-NL) AppleWebKit/534.6.7 (KHTML, like Gecko) Version/5.1 Safari/534.6.7",0
203.4.248.217,2026-03-01 16:18:04,/article/86,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
80.96.67.88,2026-03-01 16:18:24,/article/54,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
203.4.248.217,2026-03-01 16:18:42,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
203.4.248.217,2026-03-01 16:18:49,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
80.96.67.88,2026-03-01 16:19:13,/article/67,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
203.4.248.217,2026-03-01 16:19:22,/article/47,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
203.4.248.217,2026-03-01 16:20:09,/article/73,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
80.96.67.88,2026-03-01 16:20:10,/category/tech,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:20:27,/index,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
203.4.248.217,2026-03-01 16:20:53,/category/tech,Opera/8.47.(X11; Linux i686; hsb-DE) Presto/2.9.163 Version/11.00,0
80.96.67.88,2026-03-01 16:21:08,/index,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:21:51,/article/5,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:22:06,/index,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:23:04,/article/72,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:23:45,/category/tech,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:24:28,/index,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:25:09,/article/32,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:25:51,/category/tech,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:26:48,/index,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
98.114.3.181,2026-03-01 16:27:03,/index,Opera/9.28.(X11; Linux x86_64; li-NL) Presto/2.9.180 Version/10.00,0
80.96.67.88,2026-03-01 16:27:04,/index,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
80.96.67.88,2026-03-01 16:27:13,/article/19,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.832.0 Safari/531.2",0
98.114.3.181,2026-03-01 16:27:36,/category/tech,Opera/9.28.(X11; Linux x86_64; li-NL) Presto/2.9.180 Version/10.00,0
98.114.3.181,2026-03-01 16:28:30,/index,Opera/9.28.(X11; Linux x86_64; li-NL) Presto/2.9.180 Version/10.00,0
98.114.3.181,2026-03-01 16:29:16,/category/tech,Opera/9.28.(X11; Linux x86_64; li-NL) Presto/2.9.180 Version/10.00,0
82.169.91.217,2026-03-01 16:33:41,/article/81,Opera/8.20.(X11; Linux i686; tn-ZA) Presto/2.9.171 Version/10.00,0
82.169.91.217,2026-03-01 16:34:12,/article/67,Opera/8.20.(X11; Linux i686; tn-ZA) Presto/2.9.171 Version/10.00,0
82.169.91.217,2026-03-01 16:34:38,/category/tech,Opera/8.20.(X11; Linux i686; tn-ZA) Presto/2.9.171 Version/10.00,0
82.169.91.217,2026-03-01 16:35:11,/article/32,Opera/8.20.(X11; Linux i686; tn-ZA) Presto/2.9.171 Version/10.00,0
9.25.58.165,2026-03-01 16:35:44,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
9.25.58.165,2026-03-01 16:36:36,/category/tech,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
9.25.58.165,2026-03-01 16:36:49,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
45.15.90.100,2026-03-01 16:37:13,/index,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1; rv:1.9.4.20) Gecko/7002-05-23 20:09:27 Firefox/3.8,0
45.15.90.100,2026-03-01 16:37:20,/article/76,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1; rv:1.9.4.20) Gecko/7002-05-23 20:09:27 Firefox/3.8,0
9.25.58.165,2026-03-01 16:37:26,/category/tech,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
45.15.90.100,2026-03-01 16:37:51,/index,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1; rv:1.9.4.20) Gecko/7002-05-23 20:09:27 Firefox/3.8,0
9.25.58.165,2026-03-01 16:37:58,/article/38,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
45.15.90.100,2026-03-01 16:38:13,/article/17,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1; rv:1.9.4.20) Gecko/7002-05-23 20:09:27 Firefox/3.8,0
9.25.58.165,2026-03-01 16:38:22,/article/59,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
45.15.90.100,2026-03-01 16:38:37,/article/41,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1; rv:1.9.4.20) Gecko/7002-05-23 20:09:27 Firefox/3.8,0
9.25.58.165,2026-03-01 16:38:48,/article/16,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
45.15.90.100,2026-03-01 16:39:11,/article/26,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1; rv:1.9.4.20) Gecko/7002-05-23 20:09:27 Firefox/3.8,0
9.25.58.165,2026-03-01 16:39:42,/article/4,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_8 rv:2.0; ms-MY) AppleWebKit/534.20.2 (KHTML, like Gecko) Version/5.0.2 Safari/534.20.2",0
83.53.57.211,2026-03-01 16:39:46,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:40:29,/category/tech,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:41:16,/article/7,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:41:30,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:41:39,/category/tech,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:41:48,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:42:05,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:43:04,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:43:49,/article/23,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:44:32,/category/tech,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:45:29,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
83.53.57.211,2026-03-01 16:46:02,/index,Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Trident/5.0),0
45.196.123.2,2026-03-01 16:51:50,/article/1,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:50,/article/2,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:51,/article/4,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:51,/article/3,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:52,/article/6,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:52,/article/5,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:53,/article/7,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:54,/article/8,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:55,/article/10,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:55,/article/9,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:56,/article/12,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:56,/article/11,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:57,/article/13,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:58,/article/15,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:58,/article/14,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:59,/article/16,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:51:59,/article/17,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:00,/article/18,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:00,/article/19,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:01,/article/20,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:02,/article/21,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:03,/article/22,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:04,/article/23,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:05,/article/24,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:06,/article/25,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:06,/article/26,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:07,/article/27,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:08,/article/30,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:08,/article/28,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:08,/article/29,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:09,/article/31,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:09,/article/32,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:10,/article/33,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:11,/article/34,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:12,/article/35,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:12,/article/36,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:13,/article/37,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:13,/article/38,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:14,/article/39,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:15,/article/40,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:16,/article/41,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:17,/article/42,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:17,/article/43,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:18,/article/44,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:18,/article/45,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:18,/article/46,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:19,/article/48,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:19,/article/47,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:20,/article/49,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:21,/article/50,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:21,/article/51,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:22,/article/53,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:22,/article/52,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:22,/article/54,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:23,/article/55,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:24,/article/56,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:24,/article/57,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:25,/article/58,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:26,/article/60,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:26,/article/59,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:27,/article/61,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:28,/article/63,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:28,/article/64,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:28,/article/62,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:29,/article/67,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:29,/article/65,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:29,/article/66,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:30,/article/68,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:31,/article/70,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:31,/article/69,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:32,/article/71,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:33,/article/72,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:33,/article/73,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:34,/article/75,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:34,/article/74,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:34,/article/76,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:35,/article/77,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:35,/article/78,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:36,/article/79,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:36,/article/80,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:37,/article/82,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:37,/article/81,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:38,/article/84,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:38,/article/83,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:39,/article/85,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:39,/article/86,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:40,/article/87,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:40,/article/88,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:41,/article/89,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:41,/article/91,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:41,/article/90,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:42,/article/92,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:42,/article/93,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:43,/article/94,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:43,/article/95,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:44,/article/96,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:45,/article/99,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:45,/article/100,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:45,/article/97,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:45,/article/98,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:46,/article/101,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:47,/article/102,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:48,/article/104,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:48,/article/103,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:49,/article/105,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:49,/article/106,python-requests/2.26.0,1
45.196.123.2,2026-03-01 16:52:50,/article/107,python-requests/2.26.0,1
50.101.21.196,2026-03-01 16:59:41,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 16:59:58,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:00:42,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:01:20,/article/87,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:01:56,/category/tech,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:02:15,/category/tech,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:02:46,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:03:01,/article/25,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:03:14,/index,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:03:41,/category/tech,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
50.101.21.196,2026-03-01 17:03:47,/article/14,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_1 rv:3.0; uk-UA) AppleWebKit/535.23.2 (KHTML, like Gecko) Version/5.0.4 Safari/535.23.2",0
119.153.250.155,2026-03-01 17:11:50,/article/1,Mozilla/5.0 (Android 9; Mobile; rv:59.0) Gecko/59.0 Firefox/59.0,1
119.153.250.155,2026-03-01 17:11:51,/article/2,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.1),1
119.153.250.155,2026-03-01 17:11:52,/article/4,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.1),1
119.153.250.155,2026-03-01 17:11:52,/article/5,Mozilla/5.0 (Android 4.0; Mobile; rv:16.0) Gecko/16.0 Firefox/16.0,1
119.153.250.155,2026-03-01 17:11:52,/article/3,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ar-SA) AppleWebKit/535.27.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.27.3",1
119.153.250.155,2026-03-01 17:11:53,/article/6,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/3.0),1
119.153.250.155,2026-03-01 17:11:53,/article/7,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/4.0),1
119.153.250.155,2026-03-01 17:11:54,/article/8,Opera/8.85.(X11; Linux i686; ve-ZA) Presto/2.9.179 Version/11.00,1
119.153.250.155,2026-03-01 17:11:55,/article/11,"Mozilla/5.0 (iPad; CPU iPad OS 15_8_2 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/12.6v8208.0 Mobile/75Y976 Safari/535.0",1
119.153.250.155,2026-03-01 17:11:55,/article/9,Opera/9.72.(X11; Linux x86_64; cy-GB) Presto/2.9.163 Version/10.00,1
119.153.250.155,2026-03-01 17:11:55,/article/10,Opera/9.57.(Windows 98; hi-IN) Presto/2.9.165 Version/11.00,1
119.153.250.155,2026-03-01 17:11:56,/article/12,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.0),1
119.153.250.155,2026-03-01 17:11:57,/article/13,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.1),1
119.153.250.155,2026-03-01 17:11:57,/article/14,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/3.1),1
119.153.250.155,2026-03-01 17:11:58,/article/15,Opera/9.78.(X11; Linux x86_64; my-MM) Presto/2.9.168 Version/12.00,1
119.153.250.155,2026-03-01 17:11:58,/article/16,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/4.1),1
